,code,State,Trump percentage,Hillary percentage,Trump number of votes,Hillary number of votes,Education Level
1,AL,Alabama,62.9,34.6,1306925,718084,24.2
2,AK,Alaska,52.9,37.7,130415,93007,29.7
3,AZ,Arizona,49.5,45.4,1021154,936250,27.7
4,AR,Arkansas,60.4,33.8,677904,378729,21.8
5,FL,Florida,49.1,47.8,4605515,4485745,28.4
6,GA,Georgia,51.3,45.6,2068623,1837300,29.9
7,ID,Idaho,59.2,27.6,407199,189677,26
8,IN,Indiana,57.2,37.9,1556220,1031953,24.9
9,IA,Iowa,51.8,42.2,798923,650790,26.8
10,KS,Kansas,57.2,36.2,656009,414788,31.7
11,KY,Kentucky,62.5,32.7,1202942,628834,23.3
12,LA,Louisiana,58.1,38.4,1178004,779535,23.2
13,MI,Michigan,47.6,47.3,2279210,2267373,27.8
14,MS,Mississippi,58.3,39.7,678457,462001,20.8
15,MO,Missouri,57.1,38,1585753,1054889,27.8
16,MT,Montana,56.5,36,274120,174521,30.6
17,NE,Nebraska,60.3,34,485819,273858,30.2
18,NC,North Carolina,50.5,46.7,2339603,2162074,29.4
19,ND,North Dakota,64.1,27.8,216133,93526,29.1
20,OH,Ohio,52.1,43.5,2771984,2317001,26.8
21,OK,Oklahoma,65.3,28.9,947934,419788,24.6
22,PA,Pennsylvania,48.8,47.6,2912941,2844705,29.7
23,RI,Rhode Island,39.8,55.4,179421,249902,32.7
24,SC,South Carolina,54.9,40.8,1143611,849469,26.8
25,SD,South Dakota,61.5,31.7,227701,117442,27.5
26,TN,Tennessee,61.1,34.9,1517402,867110,25.7
27,TX,Texas,52.6,43.4,4681590,3867816,28.4
28,UT,Utah,46.3,27.7,419031,250981,31.8
29,WV,West Virginia,68.7,26.5,486198,187457,19.6
30,WI,Wisconsin,47.9,46.9,1409467,1382210,28.4
31,WY,Wyoming,70.1,22.5,174248,55949,26.2
